iter	Passed	Remaining
0	62	62098
1	62	31154
2	62	20844
3	62	15685
4	63	12589
5	63	10527
6	63	9052
7	64	7946
8	64	7086
9	64	6407
10	64	5843
11	65	5372
12	65	4973
13	65	4632
14	66	4334
15	66	4074
16	66	3845
17	66	3641
18	66	3459
19	67	3295
20	67	3146
21	67	3011
22	68	2889
23	68	2776
24	68	2672
25	68	2576
26	69	2487
27	69	2405
28	69	2328
29	69	2257
30	70	2190
31	70	2128
32	70	2071
33	70	2015
34	71	1962
35	71	1913
36	71	1866
37	71	1821
38	72	1779
39	72	1738
40	72	1700
41	72	1664
42	73	1631
43	73	1597
44	73	1565
45	74	1534
46	74	1505
47	74	1476
48	74	1450
49	74	1424
50	75	1399
51	75	1377
52	75	1354
53	76	1332
54	76	1310
55	76	1290
56	76	1270
57	77	1250
58	77	1232
59	77	1213
60	77	1196
61	77	1179
62	78	1163
63	78	1148
64	78	1133
65	79	1118
66	79	1103
67	79	1087
68	79	1073
69	79	1060
70	80	1047
71	80	1034
72	80	1022
73	80	1009
74	80	998
75	81	986
76	81	975
77	81	964
78	81	954
79	82	943
80	82	934
81	82	924
82	82	915
83	83	905
84	83	895
85	83	886
86	83	876
87	83	867
88	83	859
89	84	851
90	84	843
91	84	836
92	84	828
93	85	820
94	85	813
95	85	806
96	85	799
97	86	792
98	86	786
99	86	779
100	86	772
101	86	765
102	87	759
103	87	752
104	87	746
105	87	740
106	88	734
107	88	728
108	88	722
109	88	717
110	88	712
111	89	707
112	89	701
113	89	696
114	89	691
115	89	685
116	90	680
117	90	675
118	90	670
119	90	665
120	91	661
121	91	656
122	91	651
123	91	646
124	91	642
125	91	637
126	92	633
127	92	628
128	92	624
129	92	620
130	92	616
131	93	613
132	93	609
133	93	605
134	93	601
135	94	597
136	94	594
137	94	590
138	94	586
139	94	583
140	95	579
141	95	576
142	95	573
143	95	570
144	96	567
145	96	563
146	96	560
147	96	557
148	97	554
149	97	551
150	97	547
151	97	544
152	97	541
153	98	538
154	98	536
155	98	533
156	98	531
157	99	528
158	99	525
159	99	522
160	99	519
161	99	517
162	100	514
163	100	512
164	100	509
165	100	507
166	101	504
167	101	502
168	101	499
169	101	497
170	102	495
171	102	493
172	102	490
173	102	488
174	103	486
175	103	483
176	103	481
177	103	479
178	104	477
179	104	475
180	104	472
181	104	470
182	104	468
183	105	465
184	105	463
185	105	461
186	105	459
187	105	457
188	106	455
189	106	453
190	106	451
191	106	449
192	107	447
193	107	445
194	107	443
195	107	441
196	107	439
197	108	437
198	108	436
199	108	434
200	108	432
201	109	430
202	109	428
203	109	427
204	109	425
205	109	423
206	110	422
207	110	420
208	110	418
209	111	417
210	111	415
211	111	414
212	111	412
213	111	411
214	112	409
215	112	408
216	112	406
217	112	405
218	113	403
219	113	401
220	113	400
221	113	399
222	114	397
223	114	396
224	114	394
225	114	393
226	115	391
227	115	390
228	115	388
229	115	387
230	115	386
231	116	384
232	116	383
233	116	381
234	116	380
235	117	379
236	117	378
237	117	376
238	117	375
239	118	373
240	118	372
241	118	371
242	118	370
243	119	368
244	119	367
245	119	366
246	119	364
247	119	363
248	120	362
249	120	360
250	120	359
251	120	358
252	120	357
253	121	355
254	121	354
255	121	353
256	121	352
257	122	351
258	122	349
259	122	348
260	122	347
261	122	346
262	123	345
263	123	343
264	123	342
265	123	341
266	124	340
267	124	339
268	124	338
269	124	337
270	124	336
271	125	334
272	125	333
273	125	332
274	125	331
275	126	330
276	126	329
277	126	328
278	126	327
279	126	326
280	127	325
281	127	324
282	127	323
283	127	322
284	128	321
285	128	320
286	128	319
287	128	318
288	129	317
289	129	316
290	129	315
291	129	314
292	130	313
293	130	312
294	130	311
295	130	310
296	130	309
297	131	308
298	131	307
299	131	307
300	131	306
301	132	305
302	132	304
303	132	303
304	132	302
305	132	301
306	133	300
307	133	299
308	133	298
309	133	297
310	134	297
311	134	296
312	134	295
313	134	294
314	135	293
315	135	292
316	135	292
317	135	291
318	136	290
319	136	289
320	136	288
321	136	287
322	137	287
323	137	286
324	137	285
325	137	284
326	137	283
327	138	282
328	138	282
329	138	281
330	138	280
331	138	279
332	139	278
333	139	278
334	139	277
335	139	276
336	140	275
337	140	275
338	140	274
339	140	273
340	141	272
341	141	271
342	141	271
343	141	270
344	142	269
345	142	269
346	142	268
347	142	267
348	143	266
349	143	265
350	143	265
351	143	264
352	143	263
353	144	263
354	144	262
355	144	261
356	144	260
357	145	260
358	145	259
359	145	258
360	145	258
361	145	257
362	146	256
363	146	256
364	146	255
365	146	254
366	147	253
367	147	253
368	147	252
369	147	251
370	148	251
371	148	250
372	148	249
373	148	248
374	148	248
375	149	247
376	149	246
377	149	246
378	149	245
379	149	244
380	150	244
381	150	243
382	150	242
383	150	241
384	151	241
385	151	240
386	151	239
387	151	239
388	151	238
389	152	237
390	152	237
391	152	236
392	152	236
393	153	235
394	153	234
395	153	234
396	153	233
397	154	233
398	154	232
399	154	231
400	154	231
401	155	230
402	155	230
403	155	229
404	155	229
405	156	228
406	156	227
407	156	227
408	156	226
409	156	225
410	157	225
411	157	224
412	157	224
413	157	223
414	158	222
415	158	222
416	158	221
417	158	221
418	158	220
419	159	219
420	159	219
421	159	218
422	159	218
423	160	217
424	160	216
425	160	216
426	160	215
427	161	215
428	161	214
429	161	214
430	161	213
431	161	212
432	162	212
433	162	211
434	162	211
435	162	210
436	163	210
437	163	209
438	163	208
439	163	208
440	163	207
441	164	207
442	164	206
443	164	206
444	164	205
445	165	205
446	165	204
447	165	204
448	165	203
449	166	203
450	166	202
451	166	202
452	166	201
453	167	201
454	167	200
455	167	199
456	167	199
457	168	198
458	168	198
459	168	197
460	168	197
461	168	196
462	169	196
463	169	195
464	169	195
465	170	194
466	170	194
467	170	193
468	170	193
469	170	192
470	171	192
471	171	191
472	171	191
473	171	190
474	172	190
475	172	189
476	172	189
477	172	188
478	172	188
479	173	187
480	173	187
481	173	186
482	173	186
483	174	185
484	174	185
485	174	184
486	174	184
487	174	183
488	175	183
489	175	182
490	175	182
491	176	181
492	176	181
493	176	180
494	176	180
495	177	179
496	177	179
497	177	178
498	177	178
499	177	177
500	178	177
501	178	176
502	178	176
503	178	175
504	179	175
505	179	175
506	179	174
507	179	174
508	179	173
509	180	173
510	180	172
511	180	172
512	180	171
513	181	171
514	181	170
515	181	170
516	181	169
517	182	169
518	182	169
519	182	168
520	183	168
521	183	167
522	183	167
523	183	166
524	183	166
525	184	166
526	184	165
527	184	165
528	184	164
529	185	164
530	185	163
531	185	163
532	185	162
533	185	162
534	186	161
535	186	161
536	186	160
537	186	160
538	187	160
539	187	159
540	187	159
541	187	158
542	188	158
543	188	157
544	188	157
545	188	157
546	189	156
547	189	156
548	189	155
549	189	155
550	189	154
551	190	154
552	190	153
553	190	153
554	190	152
555	191	152
556	191	152
557	191	151
558	191	151
559	191	150
560	192	150
561	192	149
562	192	149
563	192	149
564	192	148
565	193	148
566	193	147
567	193	147
568	193	146
569	194	146
570	194	146
571	194	145
572	194	145
573	195	144
574	195	144
575	195	143
576	195	143
577	195	143
578	196	142
579	196	142
580	196	141
581	196	141
582	197	140
583	197	140
584	197	140
585	197	139
586	198	139
587	198	138
588	198	138
589	198	138
590	198	137
591	199	137
592	199	136
593	199	136
594	199	135
595	200	135
596	200	135
597	200	134
598	200	134
599	200	133
600	201	133
601	201	133
602	201	132
603	201	132
604	201	131
605	202	131
606	202	131
607	202	130
608	202	130
609	203	129
610	203	129
611	203	129
612	203	128
613	203	128
614	204	127
615	204	127
616	204	127
617	204	126
618	205	126
619	205	125
620	205	125
621	205	125
622	205	124
623	206	124
624	206	123
625	206	123
626	206	123
627	207	122
628	207	122
629	207	121
630	207	121
631	208	121
632	208	120
633	208	120
634	208	120
635	209	119
636	209	119
637	209	118
638	209	118
639	210	118
640	210	117
641	210	117
642	210	117
643	211	116
644	211	116
645	211	115
646	211	115
647	212	115
648	212	115
649	212	114
650	213	114
651	213	113
652	213	113
653	213	113
654	214	112
655	214	112
656	214	112
657	214	111
658	215	111
659	215	110
660	215	110
661	215	110
662	216	109
663	216	109
664	216	109
665	216	108
666	216	108
667	217	107
668	217	107
669	217	107
670	218	106
671	218	106
672	218	106
673	218	105
674	219	105
675	219	105
676	219	104
677	219	104
678	220	104
679	220	103
680	220	103
681	220	102
682	221	102
683	221	102
684	221	101
685	221	101
686	222	101
687	222	100
688	222	100
689	222	100
690	223	99
691	223	99
692	223	99
693	223	98
694	224	98
695	224	97
696	224	97
697	224	97
698	225	96
699	225	96
700	225	96
701	225	95
702	225	95
703	226	95
704	226	94
705	226	94
706	226	94
707	227	93
708	227	93
709	227	92
710	227	92
711	228	92
712	228	91
713	228	91
714	228	91
715	229	90
716	229	90
717	229	90
718	229	89
719	229	89
720	230	89
721	230	88
722	230	88
723	230	88
724	231	87
725	231	87
726	231	86
727	231	86
728	232	86
729	232	85
730	232	85
731	232	85
732	232	84
733	233	84
734	233	84
735	233	83
736	233	83
737	234	83
738	234	82
739	234	82
740	234	82
741	235	81
742	235	81
743	235	81
744	235	80
745	236	80
746	236	80
747	236	79
748	236	79
749	237	79
750	237	78
751	237	78
752	237	77
753	237	77
754	238	77
755	238	76
756	238	76
757	238	76
758	239	75
759	239	75
760	239	75
761	239	74
762	240	74
763	240	74
764	240	73
765	240	73
766	241	73
767	241	72
768	241	72
769	241	72
770	242	71
771	242	71
772	242	71
773	242	70
774	243	70
775	243	70
776	243	69
777	243	69
