iter	Passed	Remaining
0	56	55986
1	56	28101
2	56	18800
3	56	14152
4	57	11359
5	57	9497
6	57	8170
7	57	7169
8	58	6392
9	58	5773
10	58	5266
11	58	4845
12	59	4487
13	59	4181
14	59	3915
15	59	3682
16	60	3478
17	60	3294
18	60	3131
19	60	2984
20	61	2852
21	61	2729
22	61	2619
23	61	2517
24	62	2425
25	62	2339
26	62	2258
27	62	2184
28	63	2114
29	63	2050
30	63	1989
31	64	1936
32	64	1885
33	64	1845
34	65	1799
35	65	1756
36	65	1713
37	66	1673
38	66	1635
39	66	1598
40	66	1564
41	67	1531
42	67	1500
43	67	1469
44	67	1440
45	68	1413
46	68	1387
47	68	1361
48	68	1337
49	69	1313
50	69	1290
51	69	1270
52	69	1249
53	70	1229
54	70	1209
55	70	1191
56	70	1173
57	71	1156
58	71	1138
59	71	1122
60	71	1106
61	72	1091
62	72	1076
63	72	1061
64	72	1047
65	73	1034
66	73	1020
67	73	1008
68	73	995
69	74	983
70	74	971
71	74	960
72	74	949
73	74	938
74	75	927
75	75	917
76	75	907
77	75	897
78	76	888
79	76	879
80	77	873
81	77	866
82	77	856
83	77	848
84	78	839
85	78	831
86	78	823
87	78	815
88	78	807
89	79	800
90	79	793
91	79	786
92	79	778
93	80	772
94	80	765
95	80	759
96	80	752
97	81	746
98	81	740
99	81	734
100	81	729
101	82	724
102	82	718
103	82	712
104	82	707
105	83	702
106	83	697
107	83	691
108	84	687
109	84	682
110	84	677
111	84	672
112	85	667
113	85	662
114	85	657
115	85	653
116	85	648
117	86	644
118	86	639
119	86	635
120	86	631
121	87	626
122	87	622
123	87	618
124	87	614
125	88	610
126	88	606
127	88	602
128	88	599
129	89	595
130	89	592
131	89	588
132	89	585
133	90	582
134	90	579
135	90	575
136	90	572
137	91	569
138	91	566
139	91	563
140	92	564
141	92	560
142	93	558
143	93	554
144	93	551
145	93	548
146	94	546
147	94	543
148	94	540
149	94	537
150	95	534
151	95	532
152	95	529
153	95	526
154	96	524
155	96	521
156	96	519
157	96	516
158	97	514
159	97	511
160	97	508
161	97	506
162	98	503
163	98	501
164	98	498
165	98	496
166	99	493
167	99	491
168	99	489
169	99	486
170	99	484
171	100	482
172	100	480
173	100	478
174	101	476
175	101	474
176	101	472
177	101	470
178	102	468
179	102	466
180	102	464
181	102	462
182	103	460
183	103	458
184	103	456
185	103	454
186	104	452
187	104	450
188	104	448
189	104	446
190	105	444
191	105	442
192	105	441
193	105	439
194	105	437
195	106	435
196	106	433
197	106	432
198	106	430
199	107	428
200	107	427
201	107	425
202	107	423
203	108	422
204	108	420
205	108	418
206	108	417
207	109	415
208	109	414
209	109	412
210	109	411
211	110	409
212	110	408
213	110	407
214	111	405
215	111	404
216	111	403
217	112	402
218	112	400
219	112	399
220	112	398
221	113	397
222	113	395
223	113	394
224	114	393
225	114	391
226	114	390
227	114	389
228	115	387
229	115	386
230	115	384
231	115	383
232	116	382
233	116	380
234	116	379
235	116	378
236	117	376
237	117	375
238	117	374
239	117	372
240	117	371
241	118	370
242	118	368
243	118	367
244	118	366
245	119	365
246	119	364
247	119	363
248	120	362
249	120	361
250	120	359
251	120	358
252	121	357
253	121	356
254	121	355
255	121	354
256	122	353
257	122	352
258	122	351
259	123	350
260	123	350
261	123	349
262	124	348
263	124	347
264	124	345
265	124	344
266	125	343
267	125	342
268	125	341
269	126	340
270	126	339
271	126	338
272	126	337
273	127	336
274	127	336
275	127	335
276	128	334
277	128	333
278	128	332
279	128	331
280	129	330
281	129	329
282	129	328
283	129	327
284	130	326
285	130	325
286	130	324
287	130	323
288	131	322
289	131	321
290	131	321
291	132	320
292	132	319
293	132	318
294	132	317
295	133	316
296	133	315
297	133	314
298	133	313
299	133	312
300	134	311
301	134	311
302	134	310
303	135	309
304	135	308
305	135	307
306	135	306
307	136	306
308	136	305
309	136	304
310	137	303
311	137	302
312	137	301
313	137	300
314	138	300
315	138	299
316	138	298
317	138	297
318	139	296
319	139	296
320	139	295
321	139	294
322	140	293
323	140	293
324	140	292
325	141	291
326	141	290
327	141	290
328	141	289
329	142	288
330	142	287
331	142	287
332	142	286
333	143	285
334	143	284
335	143	283
336	143	283
337	144	282
338	144	281
339	144	281
340	145	280
341	145	279
342	145	278
343	145	278
344	146	277
345	146	276
346	146	275
347	146	275
348	147	274
349	147	273
350	147	273
351	147	272
352	148	271
353	148	270
354	148	270
355	148	269
356	149	268
357	149	267
358	149	267
359	149	266
360	150	265
361	150	265
362	150	264
363	151	263
364	151	263
365	151	262
366	151	262
367	152	261
368	152	260
369	152	260
370	153	259
371	153	258
372	153	258
373	153	257
374	154	256
375	154	256
376	154	255
377	154	254
378	155	254
379	155	253
380	155	252
381	155	252
382	156	251
383	156	250
384	156	250
385	156	249
386	157	248
387	157	248
388	157	247
389	158	247
390	158	246
391	158	246
392	158	245
393	159	244
394	159	244
395	159	243
396	159	242
397	160	242
398	160	241
399	160	241
400	160	240
401	161	239
402	161	239
403	161	238
404	161	237
405	162	237
406	162	236
407	162	236
408	162	235
409	163	234
410	163	234
